Well;Plate;ID_unique;Light_panel;Group;Genus;Species;Strain;Species_Strain;Medium;Replicate;Salinity;Temperature;Light_period;Light_intensity;Experiment
D8;1;D8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;34;7;14;200;2
E8;1;E8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;1;34;7;14;100;2
F8;1;F8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;2;34;7;14;100;2
G8;1;G8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;3;34;7;14;100;2
H8;1;H8_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO393;Chrysochromulina leadbeateri (UiO393);IMR 1/2;4;34;7;14;100;2
A9;1;A9_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;20;7;14;200;2
B9;1;B9_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;20;7;14;200;2
C9;1;C9_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;20;7;14;200;2
D9;1;D9_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;20;7;14;200;2
E9;1;E9_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;20;7;14;100;2
F9;1;F9_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;20;7;14;100;2
G9;1;G9_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;20;7;14;100;2
H9;1;H9_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;20;7;14;100;2
A10;1;A10_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;25;7;14;200;2
B10;1;B10_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;25;7;14;200;2
C10;1;C10_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;25;7;14;200;2
D10;1;D10_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;25;7;14;200;2
E10;1;E10_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;25;7;14;100;2
F10;1;F10_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;25;7;14;100;2
G10;1;G10_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;25;7;14;100;2
H10;1;H10_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;25;7;14;100;2
A11;1;A11_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;30;7;14;200;2
B11;1;B11_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;30;7;14;200;2
C11;1;C11_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;30;7;14;200;2
D11;1;D11_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;30;7;14;200;2
E11;1;E11_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;30;7;14;100;2
F11;1;F11_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;30;7;14;100;2
G11;1;G11_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;30;7;14;100;2
H11;1;H11_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;30;7;14;100;2
A12;1;A12_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;34;7;14;200;2
B12;1;B12_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;34;7;14;200;2
C12;1;C12_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;34;7;14;200;2
D12;1;D12_1;6;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;34;7;14;200;2
E12;1;E12_1;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;1;34;7;14;100;2
F12;1;F12_1;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;2;34;7;14;100;2
G12;1;G12_1;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;3;34;7;14;100;2
H12;1;H12_1;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO394;Chrysochromulina leadbeateri (UiO394);IMR 1/2;4;34;7;14;100;2
A1;2;A1_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;1;20;7;14;50;2
B1;2;B1_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;2;20;7;14;50;2
C1;2;C1_2;2;Haptophyte;Chrysochromulina;Chrysochromulina leadbeateri;UiO035;Chrysochromulina leadbeateri (UiO035);IMR 1/2;3;20;7;14;50;2
